observed_week,cohort_week,cohort_size,still_holding,weeks_since,retention
2026-05-11,2026-05-11,3,3,0,1.0
2026-05-18,2026-05-11,3,2,1,0.6666666666666666
2026-05-18,2026-05-18,383,364,0,0.9503916449086162
2026-05-25,2026-05-11,3,2,2,0.6666666666666666
2026-05-25,2026-05-18,383,348,1,0.9086161879895561
2026-05-25,2026-05-25,334,302,0,0.9041916167664671
2026-06-01,2026-05-11,3,1,3,0.3333333333333333
2026-06-01,2026-05-18,383,335,2,0.8746736292428199
2026-06-01,2026-05-25,334,296,1,0.8862275449101796
2026-06-01,2026-06-01,115,101,0,0.8782608695652174
2026-06-08,2026-05-11,3,1,4,0.3333333333333333
2026-06-08,2026-05-18,383,331,3,0.8642297650130548
2026-06-08,2026-05-25,334,290,2,0.8682634730538922
2026-06-08,2026-06-01,115,100,1,0.8695652173913043
2026-06-08,2026-06-08,79,47,0,0.5949367088607594
2026-06-15,2026-05-11,3,1,5,0.3333333333333333
2026-06-15,2026-05-18,383,324,4,0.8459530026109661
2026-06-15,2026-05-25,334,282,3,0.844311377245509
2026-06-15,2026-06-01,115,98,2,0.8521739130434782
2026-06-15,2026-06-08,79,47,1,0.5949367088607594
2026-06-15,2026-06-15,119,108,0,0.907563025210084
2026-06-22,2026-05-11,3,1,6,0.3333333333333333
2026-06-22,2026-05-18,383,318,5,0.8302872062663186
2026-06-22,2026-05-25,334,283,4,0.8473053892215568
2026-06-22,2026-06-01,115,97,3,0.8434782608695652
2026-06-22,2026-06-08,79,46,2,0.5822784810126582
2026-06-22,2026-06-15,119,103,1,0.865546218487395
2026-06-22,2026-06-22,216,197,0,0.9120370370370371
2026-06-29,2026-05-11,3,1,7,0.3333333333333333
2026-06-29,2026-05-18,383,92,6,0.2402088772845953
2026-06-29,2026-05-25,334,111,5,0.3323353293413174
2026-06-29,2026-06-01,115,46,4,0.4
2026-06-29,2026-06-08,79,26,3,0.3291139240506329
2026-06-29,2026-06-15,119,44,2,0.3697478991596639
2026-06-29,2026-06-22,216,90,1,0.4166666666666667
2026-06-29,2026-06-29,73,52,0,0.7123287671232876
2026-07-06,2026-05-11,3,1,8,0.3333333333333333
2026-07-06,2026-05-18,383,99,7,0.2584856396866841
2026-07-06,2026-05-25,334,115,6,0.344311377245509
2026-07-06,2026-06-01,115,47,5,0.40869565217391307
2026-07-06,2026-06-08,79,26,4,0.3291139240506329
2026-07-06,2026-06-15,119,42,3,0.35294117647058826
2026-07-06,2026-06-22,216,84,2,0.3888888888888889
2026-07-06,2026-06-29,73,48,1,0.6575342465753424
2026-07-06,2026-07-06,4176,4004,0,0.9588122605363985
2026-07-13,2026-05-11,3,1,9,0.3333333333333333
2026-07-13,2026-05-18,383,91,8,0.23759791122715404
2026-07-13,2026-05-25,334,103,7,0.3083832335329341
2026-07-13,2026-06-01,115,46,6,0.4
2026-07-13,2026-06-08,79,25,5,0.31645569620253167
2026-07-13,2026-06-15,119,38,4,0.31932773109243695
2026-07-13,2026-06-22,216,80,3,0.37037037037037035
2026-07-13,2026-06-29,73,45,2,0.6164383561643836
2026-07-13,2026-07-06,4176,3887,1,0.9307950191570882
2026-07-13,2026-07-13,192,169,0,0.8802083333333334
2026-07-20,2026-05-11,3,2,10,0.6666666666666666
2026-07-20,2026-05-18,383,81,9,0.21148825065274152
2026-07-20,2026-05-25,334,97,8,0.2904191616766467
2026-07-20,2026-06-01,115,46,7,0.4
2026-07-20,2026-06-08,79,24,6,0.3037974683544304
2026-07-20,2026-06-15,119,38,5,0.31932773109243695
2026-07-20,2026-06-22,216,77,4,0.35648148148148145
2026-07-20,2026-06-29,73,41,3,0.5616438356164384
2026-07-20,2026-07-06,4176,3798,2,0.9094827586206896
2026-07-20,2026-07-13,192,156,1,0.8125
2026-07-20,2026-07-20,775,720,0,0.9290322580645162
2026-07-27,2026-05-11,3,1,11,0.3333333333333333
2026-07-27,2026-05-18,383,78,10,0.20365535248041775
2026-07-27,2026-05-25,334,96,9,0.2874251497005988
2026-07-27,2026-06-01,115,41,8,0.3565217391304348
2026-07-27,2026-06-08,79,24,7,0.3037974683544304
2026-07-27,2026-06-15,119,36,6,0.3025210084033613
2026-07-27,2026-06-22,216,75,5,0.3472222222222222
2026-07-27,2026-06-29,73,40,4,0.547945205479452
2026-07-27,2026-07-06,4176,3680,3,0.8812260536398467
2026-07-27,2026-07-13,192,146,2,0.7604166666666666
2026-07-27,2026-07-20,775,680,1,0.8774193548387097
2026-07-27,2026-07-27,234,201,0,0.8589743589743589
2026-08-10,2026-05-11,3,1,13,0.3333333333333333
2026-08-10,2026-05-18,383,73,12,0.1906005221932115
2026-08-10,2026-05-25,334,95,11,0.2844311377245509
2026-08-10,2026-06-01,115,41,10,0.3565217391304348
2026-08-10,2026-06-08,79,24,9,0.3037974683544304
2026-08-10,2026-06-15,119,35,8,0.29411764705882354
2026-08-10,2026-06-22,216,73,7,0.33796296296296297
2026-08-10,2026-06-29,73,39,6,0.5342465753424658
2026-08-10,2026-07-06,4176,3626,5,0.8682950191570882
2026-08-10,2026-07-13,192,142,4,0.7395833333333334
2026-08-10,2026-07-20,775,673,3,0.8683870967741936
2026-08-10,2026-07-27,234,192,2,0.8205128205128205
2026-08-10,2026-08-03,164,135,1,0.823170731707317
2026-08-10,2026-08-10,1,1,0,1.0
